"latent_1" "latent_2" "latent_3" "latent_4" "latent_5" "late_lytic_1" "late_lytic_2" "late_lytic_3" "late_lytic_4" "late_lytic_5"
"DPM1" 44.2784296236318 59.1819806366761 58.7333534344978 50.5584292355555 56.4775137110708 67.6020270921268 87.9027104820862 73.1273491408182 75.4986854174738 60.9262491708527
"SCYL3" 25.0721877142359 15.3167456661316 20.7955897627787 28.940766894756 27.4043868632115 28.7198154312957 37.4743134160473 23.0782128467221 21.8309451809563 31.9137495656848
"FIRRM" 24.788351626905 28.7489702686292 25.7709832013501 29.0078132555826 31.1958869721322 29.603502059951 26.3708131446258 18.0732992173125 19.5568883912733 13.9259998104806
"FGR" 22.1392148118159 85.6454679132385 71.832242769374 60.9232493021139 52.4570837854469 7.06949302924202 14.8046670285619 12.7903348307134 27.2886814761953 21.4692497078243
"FUCA2" 25.3560238015669 25.0200243342045 26.4403290998829 24.1845801553029 23.5168994097612 3.09290320029338 3.23852091249791 8.34152271568268 4.0933022214293 4.64199993682687
"GCLC" 18.3547336474029 17.6022286581984 15.2371424056248 17.0694561492166 16.0298865364495 8.3950229722249 13.4167294946342 9.23962666140451 10.8336065460495 12.7654998262739
"NFYA" 39.9262762845568 36.0464773661055 31.4460413422206 40.3646458037588 40.6506404083015 20.7666357733984 21.2817088535577 26.6928726901846 38.2041540666735 31.3334995735814
"STPG1" 0.520366160106783 0.400961928432765 0.894016008493292 1.36829307809352 0.815892428501919 1.7673732573105 6.47704182499582 6.39516741535672 9.09622715873178 5.80249992103359
"NIPAL3" 14.3824476052059 13.1114550597514 13.1770185599663 23.2609823275898 20.3493170402832 13.2552994298288 12.4914378053491 16.4049946741759 24.5598133285758 24.3704996683411
"LAS1L" 46.5964243368347 54.4105336883262 48.5878265485485 52.1319662753631 45.9779380296964 27.8361288026404 23.1322922321279 28.9172787477 25.9242474023856 30.753249581478
"ENPP4" 21.2404005352678 14.3143408450497 16.6753420714618 22.5426284615907 29.4681147705987 3.53474651462101 4.62645844642559 6.1171166581673 8.1866044428586 8.12349988944703
"CFTR" 1.70301652398584 3.76904212726799 7.65744146405124 0.273658615618704 0.287962033588913 45.0680180614179 41.1754801731877 32.253887833973 36.3849086349271 36.5615520024327
"ANKIB1" 82.6909134424234 77.9069026944862 81.0433285751417 112.95259359662 122.863800997936 124.157971326063 149.897253664189 137.913175565954 157.819541203996 158.408247844217
"CYP51A1" 101.83754977348 163.024704709907 173.7403501723 193.280633258987 230.567840737584 18.58392980062 15.9612816401683 32.4679869170089 36.1074737065858 33.7067220412841
"KRIT1" 52.3616083306723 54.3034768534346 51.0417061405564 50.8813464019856 70.0698016331901 33.0012771471304 53.0839842142872 46.00349777699 50.8933909531043 70.1928415447434
"RAD52" 8.94083675092564 5.89414034796164 7.03823820251653 7.59402658341903 7.9189559236951 10.1623962295354 7.40233351428094 5.83906590097788 5.91254765317566 7.54324989734367
"BAD" 9.83965102747372 12.2293388171993 10.4949705344865 10.022746797035 6.23917739442644 4.41843314327626 4.62645844642559 9.17567498725095 1.81924543174636 1.16049998420672
"LAP3" 162.638078040647 191.100459900698 180.280271625734 277.421421583461 241.360177819774 22.5340090307089 25.9081672999833 57.8345574953999 52.3033061627077 66.148499099783
"CD99" 73.2060575241134 59.0616920581462 71.2103185895526 72.0577342250999 64.6714733768433 10.3833178866992 11.3348231937427 17.6562230815283 16.6006145646855 21.1791247117726
"HS3ST1" 3.02758493153038 1.84442487079072 0.777405224776775 2.87341546399639 3.64751909212623 1.7673732573105 0 3.05855832908365 0.909622715873178 1.74074997631008
"AOC1" 31.5531117082931 20.7698278928172 13.8378130010266 1.02621980857014 1.39181649567974 8.3950229722249 2.31322922321279 4.17076135784134 2.27405678968294 1.74074997631008
"MAD1L1" 14.5376113329469 13.3187523767511 13.3713698661605 15.1196385129334 11.9504243939399 18.9992625160879 16.6552504071321 6.70658426340888 10.005849874605 16.2469997788941
"LASP1" 167.904183580928 174.538326484854 170.562706316025 211.456696435111 176.231804682969 70.4121505712505 91.6038772392266 112.02943057919 119.615387137323 99.2227486496745
"SNX11" 67.2218466828854 54.7313032310724 53.7187010320752 72.7583002810838 63.4956284063552 60.5413709291713 74.485980987452 78.4103135274172 84.140101218269 92.2597487444341
"TMEM176A" 23.2272531465846 17.9229982009446 10.6893218406807 0.444695250380394 0.479936722648188 3.09290320029338 1.38793753392768 1.66830454313654 0 0.580249992103359
"M6PR" 153.460711216946 170.368723391082 161.979375229264 166.7949262196 161.354726154321 124.157971326063 154.523712110615 129.571652850271 155.545484414313 158.408247844217
"ICA1" 2.79105485875457 2.64634872765625 4.81991239361601 1.29987842418884 1.82375954606311 2.65105988596576 2.31322922321279 1.94635530032596 0.909622715873178 2.32099996841344
"ALS2" 31.3638876500725 29.2702207755918 28.2975501818746 23.5004336162562 25.2446716112947 284.547094426991 326.165320473004 196.025783818543 187.837090827811 174.074997631008
"CASP10" 38.3651778042365 37.0889783800307 38.0539857528232 15.4627380022653 15.8379118473902 44.1843314327626 62.4571890267454 47.8247302365807 35.9300972769905 27.8519996209613
"CFLAR" 416.461337497243 318.484059754145 305.149042342442 255.432951818498 268.201118970596 416.194309930908 314.654691858297 316.421761681563 296.082194016719 280.434821183554
"NDUFAF7" 16.4151870506413 19.6872306860487 18.3467633047319 15.5882788921804 19.4854309395164 32.2545619459167 30.0719799017663 24.4684666326692 27.2886814761953 34.2347495340982
"RBM5" 179.048534489833 133.480225975267 123.296468649597 178.904319960728 198.827225585246 200.155021390415 203.101525798083 114.278861204853 179.195675027016 225.717246928207
"SLC7A2" 17.2666953126342 8.34000811140151 7.96840355396195 0 0.0959873445296375 65.3928105204887 50.4283970660389 46.1564256934442 98.6940646722398 87.0374988155039
"ARF5" 45.1474411110101 55.6418877705432 54.3017549506578 52.6779152135224 43.0023303492776 6.18580640058677 4.62645844642559 16.6830454313654 15.0087748119074 14.506249802584
"SARM1" 33.1142101886135 24.2742351473196 25.1101887602898 22.7677126729371 18.52555749422 111.344515210562 95.8602190099382 72.2931968692499 94.6007624508105 92.1959212453028
"POLDIP2" 75.4530932154836 83.680754463918 68.3370288787777 92.5308194060742 74.9181224053821 29.603502059951 33.7731466589068 41.1515120640346 35.0204745611173 42.9384994156486
"AK2" 199.303550741917 277.557875719013 266.894874744239 224.022757991053 218.419682413913 115.762948353838 100.856794132078 157.902244500301 129.957797416801 134.037748175876
"CD38" 14.3810284247693 31.7962809247182 37.1599697443299 34.8572661644324 34.2674819970806 6.62764971491439 8.79027104820862 9.45372574444037 20.0116997492099 15.0864997946873
"FKBP4" 75.5003992300388 79.5107504082172 70.9770970221196 60.5127613786859 53.9928812979211 25.6269122310023 37.9369592606898 47.5466794793913 14.0991520960343 36.5557495025116
"KDM1A" 77.6764758995762 94.3864379530728 93.7550701080791 99.4064921234942 91.7159076980686 22.0921657163813 41.6381260178303 43.0978673643605 35.9300972769905 24.9507496604445
"RBM6" 108.010984672928 93.8250912532669 103.122803066639 136.487234539829 145.095909801168 239.920919679901 241.963776748058 189.630616403186 264.700210319095 255.309996525478
"CAMKK1" 0.614978189217108 1.68404009941761 1.204978098404 2.7023788292347 2.11172157965203 5.74396308625914 3.70116675714047 4.72686287222019 2.27405678968294 6.38274991313695
"RECQL" 111.074522175521 106.575680577429 107.515142586628 142.644553391249 154.347650003657 95.4381558947673 83.2762520356606 88.142090029047 125.527934790499 92.8399987365375
"VPS50" 24.504515539574 24.0978118988092 18.5799848721649 24.492446097874 28.3642603085079 33.5800918888996 43.026063551758 35.0343954058673 34.5656632031808 48.1607493445788
"ARHGAP33" 8.04202247437756 5.33279364815577 7.4242198966182 7.49140460256202 7.96694959595991 23.8595389736918 37.9369592606898 16.4049946741759 10.4606612325415 6.96299990524031
"NDUFAB1" 37.1825274403574 56.8163052589228 50.8034314391623 43.1012319599458 44.7301025508111 6.62764971491439 11.1035002714214 18.0732992173125 13.6443407380977 13.9259998104806
"SLC25A13" 26.9171222818872 42.3014834496567 44.3120978122762 23.8767142127319 23.4689057374964 13.2552994298288 20.3564171642726 21.687959060775 21.3761338230197 5.80249992103359
"ST7" 40.5384161129006 53.0841516290706 47.9581283164793 36.1725378857498 36.6191719380567 23.8595389736918 22.6696463874854 20.8538067892067 12.2799066642879 20.8889997157209
"CDC27" 143.952202291358 136.808209981259 120.964252975266 143.431321911153 172.681232808818 69.3031238522882 57.3680847356773 72.8492983836287 99.1488760301764 89.9387487760207
"HCCS" 20.8619524188265 27.3055073262713 24.09956196808 19.8744569593084 21.3091904855795 8.83686628655252 4.62645844642559 8.6195734728721 6.82217036904883 12.7654998262739
"DVL2" 16.1786569778654 21.0505012427201 18.2690227822542 18.8140298237859 16.4618295868328 26.5105988596576 31.9225632803366 31.6977863195942 16.8280202436538 22.629749692031
