"","logFC","logCPM","F","PValue","FDR"
"RGS2",3.17363014578792,4.64068821208305,22.3656388238927,0.000420529411298858,0.000832718803761888
"LIN7C",-0.79528026827395,5.34149543530204,22.2093508048762,0.000421942609204037,0.000835389729632155
"COQ10B",1.26383974713484,4.33336274504323,22.2301775677814,0.000422341122771022,0.000836051208413583
"KIAA0040",1.04932630801902,6.02229639235814,22.1950149679457,0.000422541481846501,0.000836320285813905
"CPNE5",2.63083115384783,3.13493223004105,21.7902399819963,0.000423991090957349,0.00083906149727495
"FBXW5",1.65135505267331,5.55399026374408,22.1762933587243,0.000424399139297056,0.000839740979889602
"ZNF138",1.20255938133766,3.36650668646057,22.3516169912145,0.000424646604761079,0.000840102565127085
"ANKZF1",1.6954193873141,5.61724602660527,22.1691576939511,0.00042494833784697,0.000840571384525095
"TMEM161B-DT",0.905963061988125,5.8746414325903,22.1497062096662,0.000426214593450728,0.000842867991332097
"SEC24B",0.75696067976776,5.4271874018813,22.1518515773307,0.000426239252319252,0.000842867991332097
"GEMIN7-AS1",-1.44340668442056,2.16643556505442,19.1564179112415,0.000426379769304917,0.000843017426592205
"POMK",0.876236650195126,4.86522509248056,22.1557343066416,0.000426496133346935,0.000843119069577097
"EVI5L",1.49551847150703,3.1082105999813,22.3636171952809,0.000426598586820493,0.000843123886078933
"PIK3CA",1.24606148367512,5.36960160936176,22.1487193216264,0.000426628481029771,0.000843123886078933
"HCG18",1.02782016669064,5.1157428530385,22.1354592772895,0.000427874605251197,0.000845457813390249
"KLHL22",-1.19133891111773,4.62871459642721,22.1622164683158,0.000428756169346294,0.000846877196541844
"MCM3AP",0.871885534706742,6.60974795416551,22.11604215402,0.000428803198285369,0.000846877196541844
"TMEM143",1.11569619797812,3.0172439384445,22.3784360383062,0.000428843539569184,0.000846877196541844
"PET100",1.25709323074001,3.87176786159527,22.1958500470687,0.000428853914704895,0.000846877196541844
"MTMR12",0.927504816999972,4.61816639902949,22.1276745050419,0.000429254073976634,0.000847538466719913
"PAM",1.20642044164163,5.85081510986417,22.0997068486048,0.000430338284571745,0.00084954995189981
"RPL7AP6",2.19022408763048,3.12469784915665,22.0833602944719,0.000430699795378496,0.000850134328469111
"ZNF665",-2.267749618719,2.73840717790428,19.5703889072285,0.000432048752347972,0.000852667295952056
"MACO1",1.83411996509517,4.55514037912899,22.1122990946702,0.000432313891901022,0.000853060856928439
"MON1B",-1.30791118657928,6.96868933016704,22.071716634401,0.000432452073143526,0.000853203816598717
"GATM",1.56750220130074,6.31332480730334,22.0478699252727,0.000434502511317124,0.000857118935698522
"CHKB-CPT1B",1.61850670979529,3.2444725982702,22.2497187123782,0.000434662057747443,0.000857188934290768
"LINC01331",-2.39405882106454,2.38506278473243,18.1197396252959,0.000434670074383809,0.000857188934290768
"CPNE2",-1.89109730504634,1.86709676835373,17.6697756498167,0.000435110922986361,0.000857927962989969
"ARHGAP35",-0.684742571303076,6.93433996248049,22.0281359205404,0.000436037714166983,0.000859624776714373
"ETFRF1",1.45100543295276,2.87834435874589,22.1835371484983,0.000438558270733041,0.000864462620214864
"CNNM4",-1.35083297211844,5.22913537245618,22.0008599190329,0.000439780178345265,0.000866739555864188
"MAPKAPK5",1.12485801154741,5.06893184955483,21.9800440715396,0.000440822329233863,0.000868661580910209
"RAB6A",0.709210665631978,5.93625175935413,21.9487427303143,0.000442824659738903,0.000872474815332569
"MLLT11",-1.69038623034169,4.43060698548283,22.0549776487114,0.00044309295917584,0.00087287093794239
"HOXC4",1.17633531970287,3.46468688432426,22.098401699186,0.000443186347531897,0.000872922426549927
"RGS16",1.99626604381828,3.7839512310452,22.0857614779795,0.00044390757522053,0.000874210336271049
"PAQR3",-1.12483148515818,4.22307120076442,22.019146363476,0.00044415750027911,0.000874489195805707
"ERN1",-1.48550464292029,5.57598093228221,21.942397848062,0.000444183918948153,0.000874489195805707
"ATP5F1D",0.98830624363015,4.7011255686412,21.9434761446391,0.000444434986526919,0.000874850792405127
"CUL3",0.802675647131342,6.84390795626739,21.9258150411775,0.000444619916780306,0.000875082110660859
"BNIP3",2.087801455638,6.11974708192335,21.9253504132567,0.000444991039467196,0.000875679759291116
"IL18RAP",-2.11972564547568,3.48618966611003,21.5965685071456,0.000446094361067606,0.000877717872769066
